,support,itemsets
145,0.01651376146788991,"frozenset({3, 4})"
146,0.011009174311926606,"frozenset({3, 5})"
147,0.011009174311926606,"frozenset({10, 3})"
148,0.014678899082568808,"frozenset({16, 3})"
149,0.014678899082568808,"frozenset({18, 3})"
150,0.012844036697247707,"frozenset({3, 19})"
151,0.011009174311926606,"frozenset({3, 29})"
152,0.01651376146788991,"frozenset({3, 30})"
153,0.01834862385321101,"frozenset({32, 3})"
154,0.01651376146788991,"frozenset({3, 38})"
155,0.01834862385321101,"frozenset({50, 3})"
156,0.011009174311926606,"frozenset({3, 51})"
157,0.011009174311926606,"frozenset({56, 3})"
158,0.01834862385321101,"frozenset({3, 61})"
159,0.011009174311926606,"frozenset({65, 3})"
160,0.011009174311926606,"frozenset({3, 67})"
161,0.012844036697247707,"frozenset({3, 70})"
162,0.01834862385321101,"frozenset({3, 71})"
163,0.012844036697247707,"frozenset({72, 3})"
164,0.01651376146788991,"frozenset({74, 3})"
165,0.014678899082568808,"frozenset({4, 5})"
166,0.012844036697247707,"frozenset({4, 6})"
167,0.011009174311926606,"frozenset({10, 4})"
168,0.011009174311926606,"frozenset({18, 4})"
169,0.011009174311926606,"frozenset({19, 4})"
170,0.012844036697247707,"frozenset({4, 23})"
171,0.014678899082568808,"frozenset({24, 4})"
172,0.012844036697247707,"frozenset({4, 29})"
173,0.01834862385321101,"frozenset({4, 30})"
174,0.012844036697247707,"frozenset({4, 36})"
175,0.01651376146788991,"frozenset({4, 38})"
176,0.014678899082568808,"frozenset({50, 4})"
177,0.01834862385321101,"frozenset({51, 4})"
178,0.012844036697247707,"frozenset({4, 55})"
179,0.012844036697247707,"frozenset({56, 4})"
180,0.012844036697247707,"frozenset({58, 4})"
181,0.022018348623853212,"frozenset({4, 61})"
182,0.011009174311926606,"frozenset({65, 4})"
183,0.01834862385321101,"frozenset({67, 4})"
184,0.022018348623853212,"frozenset({4, 71})"
185,0.01651376146788991,"frozenset({72, 4})"
186,0.011009174311926606,"frozenset({74, 4})"
187,0.014678899082568808,"frozenset({5, 6})"
188,0.011009174311926606,"frozenset({10, 5})"
189,0.014678899082568808,"frozenset({18, 5})"
190,0.011009174311926606,"frozenset({19, 5})"
191,0.014678899082568808,"frozenset({24, 5})"
192,0.01651376146788991,"frozenset({5, 29})"
193,0.01651376146788991,"frozenset({5, 30})"
194,0.011009174311926606,"frozenset({32, 5})"
195,0.014678899082568808,"frozenset({36, 5})"
196,0.014678899082568808,"frozenset({5, 38})"
197,0.011009174311926606,"frozenset({50, 5})"
198,0.011009174311926606,"frozenset({51, 5})"
199,0.02018348623853211,"frozenset({56, 5})"
200,0.011009174311926606,"frozenset({65, 5})"
201,0.011009174311926606,"frozenset({66, 5})"
202,0.012844036697247707,"frozenset({67, 5})"
203,0.025688073394495414,"frozenset({5, 71})"
204,0.012844036697247707,"frozenset({72, 5})"
205,0.01651376146788991,"frozenset({74, 5})"
206,0.012844036697247707,"frozenset({10, 6})"
207,0.012844036697247707,"frozenset({13, 6})"
208,0.011009174311926606,"frozenset({6, 15})"
209,0.01651376146788991,"frozenset({18, 6})"
210,0.012844036697247707,"frozenset({20, 6})"
211,0.01834862385321101,"frozenset({6, 30})"
212,0.02018348623853211,"frozenset({36, 6})"
213,0.011009174311926606,"frozenset({38, 6})"
214,0.014678899082568808,"frozenset({6, 39})"
215,0.01651376146788991,"frozenset({51, 6})"
216,0.011009174311926606,"frozenset({53, 6})"
217,0.011009174311926606,"frozenset({54, 6})"
218,0.014678899082568808,"frozenset({6, 55})"
219,0.012844036697247707,"frozenset({56, 6})"
220,0.011009174311926606,"frozenset({61, 6})"
221,0.014678899082568808,"frozenset({64, 6})"
222,0.012844036697247707,"frozenset({66, 6})"
